Kab.Kota;X1;X2;X3;X4;X5;X6
Kab. Pacitan;300;100.18;3.65;414;13.80;7.82
Kab. Ponorogo;911;98.57;5.51;680;9.32;7.77
Kab. Trenggalek;709;124.82;5.37;592;10.96;7.89
Kab. Tulungagung;1787;131.23;6.65;966;6.71;8.65
Kab. Blitar;2238;127.75;5.45;711;8.71;7.82
Kab. Kediri;1710;100.18;6.83;1087;10.65;8.23
Kab. Malang;2010;116.27;6.57;773;9.55;7.68
Kab. Lumajang;1378;126.78;4.97;633;09.06;6.87
Kab. Jember;2773;119.00;4.06;775;9.39;6.50
Kab. Banyuwangi;2545;110.61;5.26;482;7.51;7.66
Kab. Bondowoso;947;93.98;4.32;503;13.47;6.22
Kab. Situbondo;911;57.52;3.38;418;11.78;6.63
Kab. Probolinggo;1057;98.86;3.25;673;17.12;6.13
Kab. Pasuruan;1480;101.15;5.91;1084;8.96;7.42
Kab. Sidoarjo;3344;105.95;8.80;2905;5.36;10.77
Kab. Mojokerto;1315;122.59;4.83;1151;9.71;8.97
Kab. Jombang;2243;93.98;5.47;1204;9.04;8.76
Kab. Nganjuk;1404;115.60;4.74;867;10.70;8.12
Kab. Madiun;1293;102.47;5.84;6668;10.79;7.94
Kab. Magetan;1304;131.52;4.33;960;9.84;8.66
Kab. Ngawi;1292;121.83;2.48;629;14.15;7.59
Kab. Bojonegoro;1314;110.27;4.69;569;12.21;7.43
Kab. Tuban;1208;113.99;4.54;613;15.02;7.37
Kab. Lamongan;1509;113.78;6.05;783;12.53;8.33
Kab. Gresik;2184;92.77;7.84;1061;11.06;9.75
Kab. Bangkalan;976;105.43;8.05;835;19.44;5.97
Kab. Sampang;725;95.72;3.11;801;21.61;5.06
Kab. Pamekasan;1307;78.27;1.40;1079;13.93;6.88
Kab. Sumenep;759;89.99;1.36;545;18.76;5.93
Kota Kediri;1047;100.18;4.38;4305;7.23;10.45
Kota Blitar;1217;93.67;5.39;4577;7.37;10.65
Kota Malang;1603;152.34;7.66;7617;4.37;10.69
Kota Probolinggo;886;112.19;4.57;4448;6.65;9.29
Kota Pasuruan;893;101.02;6.18;5424;6.37;9.67
Kota Mojokerto;1353;108.20;5.05;6645;5.98;10.80
Kota Madiun;1132;109.10;6.39;5514;4.76;11.67
Kota Surabaya;8759;109.16;7.62;8595;4.72;10.51
Kota Batu;413;103.20;8.43;1116;3.79;9.63
